Klub;Sezon;Adres;Prezes;Wiceprezs;Manager;Pierwszy trener;Drugi trener
Atom Trefl Sopot;2016/2017; Plac Dwóch Miast 1, Sopot; Marek Wierzbicki; Bartosz Kurnatowski;;" Piotr Olenderek
																					";
BKS PROFI CREDIT Bielsko-Bia³a;2016/2017; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Tore Aleksandersen
															"; 								Bart³omiej Piekarczyk																					
Chemik Police;2016/2017; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Jakub G³uszak
															"; 								Jakub Krebok																					
Developres SkyRes Rzeszów;2016/2017; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Lorenzo Micelli
															"; 								Dawid Pawlik																					
Enea PTPS Pi³a;2016/2017; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Jacek Pasiñski
															"; 								Piotr Sobolewski																					
Giacomini Budowlani Toruñ;2016/2017; ul. Bema 73/89, Toruñ;;;;" Nicola Vettori
															"; 								Marcin Szendzielarz																					
Grot Budowlani £ódŸ;2016/2017; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" B³a¿ej Krzyszta³owicz
															"; 								Tadeusz Krzyszta³owicz																					
Impel Wroc³aw;2016/2017; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Marek Solarewicz
															"; 								Wojciech Kurczyñski																					
KS PA£AC Bydgoszcz;2016/2017; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Adam Grabowski
															"; 								Sebastian Tylicki																					
KSZO OSTROWIEC;2016/2017; ul. Œwiêtokrzyska 11, Ostrowiec Œwiêtokrzyski; Miros³aw Buszkiewicz;;;" Dariusz Parkitny
															"; 								Rafa³ Dytkowski																					
Legionovia Legionowo;2016/2017; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;;
£KS Commercecon £ódŸ;2016/2017; Al. Unii Lubelskiej 2, £ódŸ; Hubert Hoffman;; Katarzyna Sielicka;" Michal Masek
															"; 								Bart³omiej Bartodziejski																					
Polski Cukier Muszynianka;2016/2017;4.Rok budowy: 2006; JE¯OWSKI GRZEGORZ;;;" Ryszard Litwin
															"; 								Marcin Wojtowicz																					
Tauron MKS D¹browa Górnicza;2016/2017; Aleja Ró¿ 3, D¹browa Górnicza; Robert Kaæma; Katarzyna Sobstyl;;;
BKS PROFI CREDIT Bielsko-Bia³a;2017/2018; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Tore Aleksandersen
															"; 								Bart³omiej Piekarczyk																					
Chemik Police;2017/2018; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Marcello Abbondanza
															"; 								Marek Mierzwiñski,																							Piotr Matela																					
Developres SkyRes Rzeszów;2017/2018; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Lorenzo Micelli
															"; 								Dawid Pawlik																					
Enea PTPS Pi³a;2017/2018; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Jacek Pasiñski
															"; 								Marcin Widera																					
Grot Budowlani £ódŸ;2017/2018; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" B³a¿ej Krzyszta³owicz
															"; 								Tadeusz Krzyszta³owicz																					
Impel Wroc³aw;2017/2018; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Marek Solarewicz
															"; 								Wojciech Kurczyñski																					
KS PA£AC Bydgoszcz;2017/2018; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Piotr Makowski
															"; 								Sebastian Tylicki																					
KSZO Ostrowiec Œwiêtokrzyski;2017/2018; ul. Œwiêtokrzyska 11, Ostrowiec Œwiêtokrzyski; Miros³aw Buszkiewicz;;;" Adam Grabowski
																					";
Legionovia Legionowo;2017/2018; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Piotr Olenderek
															"; 								Marcin Jackowicz																					
£KS Commercecon £ódŸ;2017/2018; Al. Unii Lubelskiej 2, £ódŸ; Hubert Hoffman;; Katarzyna Sielicka;" Michal Masek
															"; 								Bart³omiej Bartodziejski																					
MKS D¹browa Górnicza;2017/2018; Aleja Ró¿ 3, D¹browa Górnicza; Robert Kaæma; Katarzyna Sobstyl;;" Andrzej Stelmach
															"; 								Magdalena Œliwa																					
POLI Budowlani Toruñ;2017/2018; ul. Bema 73/89, Toruñ;;;;" Miroslaw Zawieracz
															"; 								Marcin Szendzielarz																					
Polski Cukier Muszynianka Muszyna;2017/2018;4.Rok budowy: 2006; JE¯OWSKI GRZEGORZ;;;" Bogdan Serwiñski
															"; 								Marcin Wojtowicz																					
Trefl Proxima Kraków;2017/2018; ul. Ptaszyckiego 4, Kraków; £ukasz Kadela;;;" Alessandro Chiappini
															"; 								Joanna Mirek,																							Filip Brzeziñski																					
#VolleyWroc³aw;2018/2019; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Marek Solarewicz
															"; 								Wojciech Kurczyñski																					
Bank Pocztowy Pa³ac Bydgoszcz;2018/2019; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Piotr Matela
																					";
BKS PROFI CREDIT Bielsko-Bia³a;2018/2019; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Bart³omiej Piekarczyk
															"; 								£ukasz Fija³ek																						
Chemik Police;2018/2019; ul. Grunwaldzka 17, Police; Pawe³ Frankowski;;;" Marcello Abbondanza
															"; 								Marek Mierzwiñski																					
Developres SkyRes Rzeszów;2018/2019; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Bart³omiej D¹browski
																						";
DPD Legionovia Legionowo;2018/2019; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Jakub Skwarek
																					";
E.Leclerc Radomka Radom;2018/2019; ul. Narutowicza 9, Radom; Thomas Renard - Chardin;;;" Jacek Skrok
																					";
Enea PTPS Pi³a;2018/2019; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Alessandro Chiappini
															"; 								Mateusz Czerwiñski																					
Energa MKS Kalisz;2018/2019; ul. Prymasa Stefana Wyszyñskiego 22-24, Kalisz; B³a¿ej Wojty³a ;; Rafa³ Janiak ;" Jacek Pasiñski
															"; 								Filip Brzeziñski																						
Grot Budowlani £ódŸ;2018/2019; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" B³a¿ej Krzyszta³owicz
															"; 								Adam Czekaj																					
KSZO Ostrowiec;2018/2019; ul. Œwiêtokrzyska 11, Ostrowiec Œwiêtokrzyski; Miros³aw Buszkiewicz;;;" Frantisek Bockay
															"; 								Mateusz Janik																						
£KS Commercecon £ódŸ;2018/2019; Al. Unii Lubelskiej 2, £ódŸ; Hubert Hoffman;; Katarzyna Sielicka;" Michal Masek
															"; 								Bart³omiej Bartodziejski																					
#VolleyWroc³aw;2019/2020; al. I.J. Paderewskiego 35, Wroc³aw; Jacek Grabowski;;;" Wojciech Kurczyñski
															"; 								Tomasz Kowalski																					
Bank Pocztowy Pa³ac Bydgoszcz;2019/2020; ul. Jagielloñska 27, Bydgoszcz; Piotr Makowski;;;" Piotr Matela
															"; 								Jakub Têcza																					
BKS STAL Bielsko-Bia³a;2019/2020; ul. Armii Krajowej 220, Bielsko-Bia³a; Aleksandra Jagie³o;; Mariola Wojtowicz;" Bart³omiej Piekarczyk
															"; 								£ukasz Sasnal																					
Developres SkyRes Rzeszów;2019/2020; ul. Podpromie 10, Rzeszów; Rafa³ Mardoñ;; Paulina Peret;" Stephane Antiga
															"; 								Bart³omiej D¹browski																					
DPD Legionovia Legionowo;2019/2020; ul. Chrobrego 50B, Legionowo; Konrad Ciejka;; Maciej Szewczyk;" Alessandro Chiappini
															"; 								Adrian Chyliñski																					
E.LECLERC Radomka Radom;2019/2020; ul. Narutowicza 9, Radom; Thomas Renard - Chardin;;;" Adam Grabowski
															"; 								Rados³aw Wodziñski																					
Enea PTPS Pi³a;2019/2020; ul. ¯eromskiego 90, Pi³a; Rados³aw Ciemiêga;;;" Miros³aw Zawieracz
															"; 								Mateusz Czerwiñski																					
Energa MKS Kalisz;2019/2020; ul. Prymasa Stefana Wyszyñskiego 22-24, Kalisz; B³a¿ej Wojty³a ;; Rafa³ Janiak ;" Jacek Pasiñski
															"; 								Marcin Widera																					
Grot Budowlani £ódŸ;2019/2020; Al. Unii Lubelskiej 2, £ódŸ; Marcin Chudzik;;;" B³a¿ej Krzyszta³owicz
															"; 								Adam Czekaj																					
