I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Joanna Pacak ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
3;4;3;2;3;-;13;5;5;15;2;0;-13%;36;3;39%;22%;31;2;1;12;39%;28%;1;0;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
6;1;*;*;*;-;4;1;-2;12;1;0;-8%;12;1;50%;33%;14;2;2;4;29%;0%;0;0;7 Katarina LazoviÊ ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
;;;*;;-;1;0;1;0;0;0;-;0;0;-;-;1;0;0;1;100%;100%;0;0;8 Aleksandra SzczepaÒska ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
4;5;4;3;4;-;12;5;10;20;2;3;10%;1;0;0%;0%;12;0;0;5;42%;42%;4;0;9 Nadja NinkoviÊ ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
;;;*;;-;0;0;0;0;0;0;-;0;0;-;-;2;0;0;0;0%;0%;0;0;10 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
5;6;5;4;5;-;1;1;0;13;1;0;-8%;0;0;-;-;1;0;0;0;0%;0%;1;0;12 Britt Bongaerts ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
1;2;1;6;1;-;7;4;4;16;1;1;0%;3;0;67%;33%;10;1;1;3;30%;10%;3;0;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Oliwia Laszczyk ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
2;3;2;1;2;-;21;5;14;20;1;1;5%;0;0;-;-;53;0;6;19;36%;25%;1;0;18 Katarzyna ZaroúliÒska-KrÛl ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
;*;6;5;6;-;12;6;9;4;0;0;0%;15;0;33%;20%;24;2;1;9;38%;25%;3;0;27 Ann Kalandadze ;£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
*;*;*;*;*;-;0;0;-2;0;0;0;-;24;2;71%;33%;0;0;0;0;-;-;0;0;33 Magdalena Saad (L);£KS Commercecon £Ûdü;"
							17.04.2021, 14:45E.LECLERC MOYA Radomka Radom-2:3-£KS Commercecon £Ûdü";"
							17.04.2021, 14:45
					";2021/2022;play-off;K-3
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Katarina Osadchuk ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
*;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Joanna Pacak ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
3;2;3;;;-;3;3;-4;14;1;0;-7%;24;1;58%;29%;16;2;3;3;19%;-12%;0;1;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
6;5;6;;;-;15;8;8;13;1;2;8%;18;1;44%;11%;27;3;2;10;37%;19%;3;2;7 Katarina LazoviÊ ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;8 Aleksandra SzczepaÒska ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
4;3;4;;;-;11;3;11;10;0;0;10%;0;0;-;-;11;0;0;7;64%;64%;4;7;9 Nadja NinkoviÊ ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
5;4;5;;;-;3;2;2;15;0;0;0%;0;0;-;-;4;0;1;2;50%;25%;1;1;12 Britt Bongaerts ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
1;6;1;;;-;8;3;7;10;1;1;0%;0;0;-;-;8;0;0;6;75%;75%;1;1;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;17 Oliwia Laszczyk ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
2;1;2;;;-;17;6;11;11;3;0;-18%;0;0;-;-;32;2;1;14;44%;34%;3;1;18 Katarzyna ZaroúliÒska-KrÛl ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
*;;;;;-;1;0;1;0;0;0;-;1;0;0%;0%;1;0;0;1;100%;100%;0;0;27 Ann Kalandadze ;£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
*;*;*;;;-;0;0;0;0;0;0;-;13;0;69%;46%;0;0;0;0;-;-;0;0;33 Magdalena Saad (L);£KS Commercecon £Ûdü;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
4;4;2;;;-;4;2;-7;8;1;1;0%;17;0;59%;29%;25;5;5;3;12%;-28%;0;1;1 Ana Bjelica ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
1;1;5;;;-;10;1;6;12;0;0;17%;14;0;79%;36%;20;2;2;8;40%;20%;2;1;2 Samara Rodrigues De Almeida ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
3;3;1;;;-;17;2;8;11;2;0;-18%;0;0;-;-;41;4;3;16;39%;22%;1;4;3 Bruna Honorio Marques ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
*;*;*;;;-;0;0;-2;0;0;0;-;25;2;48%;20%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;*;;;;-;0;0;0;2;0;0;0%;0;0;-;-;1;0;0;0;0%;0%;0;0;8 Izabela Ba≥ucka ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;9 Andressa Picussa ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
5;5;3;;;-;5;2;2;7;1;0;-14%;0;0;-;-;12;0;2;3;25%;8%;2;1;11 Justyna £ukasik ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;*;;;;-;2;0;1;1;0;0;0%;6;1;33%;17%;3;0;0;2;67%;67%;0;0;12 Julia Kπkol ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
*;*;*;;;-;0;0;0;0;0;0;-;5;0;100%;60%;0;0;0;0;-;-;0;0;13 Renata Bia≥a ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
2;2;6;;;-;3;2;2;12;1;1;8%;0;0;-;-;4;0;0;1;25%;25%;1;1;15 Kornelia Moskwa ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
6;6;4;;;-;2;1;2;8;0;0;0%;0;0;-;-;3;0;0;1;33%;33%;1;0;18 Katarzyna Skorupa ;E.LECLERC MOYA Radomka Radom;"
							20.04.2021, 17:30£KS Commercecon £Ûdü-3:0-E.LECLERC MOYA Radomka Radom";"
							20.04.2021, 17:30
					";2021/2022;play-off;K-4
3;4;3;;;-;7;4;-2;11;1;0;-9%;15;0;40%;27%;30;2;6;7;23%;-3%;0;0;1 Ana Bjelica ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
6;1;6;;;-;7;2;2;8;1;0;-12%;10;0;80%;40%;23;3;1;7;30%;13%;0;0;2 Samara Rodrigues De Almeida ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
2;3;2;;;-;13;8;9;9;1;0;11%;2;0;0%;0%;33;2;1;12;36%;27%;1;0;3 Bruna Honorio Marques ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
*;*;*;;;-;0;0;-1;0;0;0;-;31;1;45%;26%;0;0;0;0;-;-;0;0;5 Agata Witkowska (L);E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;*;;;;-;0;0;-1;1;1;0;-100%;0;0;-;-;0;0;0;0;-;-;0;0;8 Izabela Ba≥ucka ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
*;;*;;;-;4;2;3;5;0;1;20%;0;0;-;-;6;1;0;2;33%;17%;1;0;9 Andressa Picussa ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
4;5;4;;;-;8;3;5;6;1;0;-17%;1;0;0%;0%;18;1;1;7;39%;28%;1;0;11 Justyna £ukasik ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;*;*;;;-;3;0;1;4;1;0;-25%;7;0;14%;14%;5;0;1;2;40%;20%;1;0;12 Julia Kπkol ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
*;;;;;-;0;0;-1;0;0;0;-;2;1;0%;0%;0;0;0;0;-;-;0;0;13 Renata Bia≥a ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;14 Paulina Zaborowska ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
1;2;1;;;-;2;1;0;10;1;0;10%;0;0;-;-;2;1;0;1;50%;0%;1;0;15 Kornelia Moskwa ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
5;6;5;;;-;4;1;4;11;0;0;9%;0;0;-;-;3;0;0;2;67%;67%;2;0;18 Katarzyna Skorupa ;E.LECLERC MOYA Radomka Radom;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;1 Katarina Osadchuk ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Joanna Pacak ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
3;2;2;;;-;9;2;6;14;0;0;0%;12;0;58%;33%;21;1;2;9;43%;28%;0;0;6 Aleksandra WÛjcik ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
6;5;5;;;-;12;10;8;9;0;1;22%;30;0;47%;20%;30;2;2;10;33%;20%;1;0;7 Katarina LazoviÊ ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
*;;*;;;-;1;1;1;5;0;1;20%;0;0;-;-;0;0;0;0;-;-;0;0;8 Aleksandra SzczepaÒska ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
4;3;3;;;-;7;3;6;18;0;0;6%;1;0;100%;0%;12;1;0;4;33%;25%;3;1;9 Nadja NinkoviÊ ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;10 Agata WawrzyÒczyk ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
5;4;4;;;-;3;2;3;11;0;0;9%;0;0;-;-;0;0;0;0;-;-;3;0;12 Britt Bongaerts ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;13 Krystyna Strasz (L);£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
1;6;6;;;-;4;3;2;6;0;0;0%;1;0;100%;0%;6;1;1;1;17%;-17%;3;0;15 Klaudia Alagierska-Szczepaniak ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
2;1;1;;;-;16;5;7;10;4;0;-20%;0;0;-;-;34;3;2;16;47%;32%;0;0;18 Katarzyna ZaroúliÒska-KrÛl ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
;;*;;;-;1;0;1;0;0;0;-;0;0;-;-;2;0;0;1;50%;50%;0;0;27 Ann Kalandadze ;£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
*;*;*;;;-;0;0;-1;0;0;0;-;14;1;79%;43%;0;0;0;0;-;-;0;0;33 Magdalena Saad (L);£KS Commercecon £Ûdü;"
							24.04.2021, 14:45E.LECLERC MOYA Radomka Radom-0:3-£KS Commercecon £Ûdü";"
							24.04.2021, 14:45
					";2021/2022;play-off;K-5
*;*;*;*;;-;0;0;-2;0;0;0;-;14;2;64%;43%;0;0;0;0;-;-;0;0;1 Maria Stenzel (L);Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
5;6;5;1;;-;3;2;0;16;3;1;-12%;0;0;-;-;2;0;0;1;50%;50%;1;3;2 Julia Nowicka ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;4 Oliwia Michalak ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
1;2;1;3;;-;3;1;2;19;1;0;-5%;0;0;-;-;7;0;0;2;29%;28%;1;3;5 Ma≥gorzata Lisiak ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;6 Anna Lewandowska ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
;*;;*;;-;1;1;0;3;0;0;0%;9;0;33%;11%;2;0;1;0;0%;-50%;1;0;8 Zuzanna GÛrecka ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
4;5;4;6;;-;13;7;11;14;1;3;14%;0;0;-;-;13;1;0;8;62%;54%;2;7;9 Weronika Centka ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
2;3;2;4;;-;23;8;13;12;5;0;-42%;0;0;-;-;49;3;2;22;45%;35%;1;2;12 Veronica Jones-Perry ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
3;4;3;5;;-;11;3;-2;17;2;0;-12%;36;5;47%;19%;33;1;5;11;33%;15%;0;0;14 Monika Fedusio ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
;*;*;;;-;2;2;2;4;0;2;50%;0;0;-;-;0;0;0;0;-;-;0;0;20 Justyna KÍdziora ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
;;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;22 Oliwia Poreda ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
6;1;6;2;;-;16;4;6;15;4;0;-27%;28;2;54%;36%;32;3;1;15;47%;34%;1;3;24 Paulina Damaske ;Grot Budowlani £Ûdü;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
4;3;4;3;;-;17;7;13;24;2;4;8%;2;0;0%;0%;13;1;1;8;62%;46%;5;3;3 Karolina Druøkowska ;BKS BOSTIK Bielsko-Bia≥a;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
6;5;6;5;;-;7;2;0;11;1;0;-9%;17;0;59%;29%;29;5;1;7;24%;3%;0;1;10 Andrea Kossanyiova ;BKS BOSTIK Bielsko-Bia≥a;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
*;*;*;*;;-;0;0;0;5;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;11 Dagmara Dπbrowska ;BKS BOSTIK Bielsko-Bia≥a;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
1;6;1;6;;-;9;6;8;5;1;0;-20%;0;0;-;-;11;0;0;7;64%;64%;2;4;13 Martyna åwirad ;BKS BOSTIK Bielsko-Bia≥a;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
*;*;*;*;;-;0;0;-4;0;0;0;-;28;4;39%;18%;0;0;0;0;-;-;0;0;16 Kinga Drabek (L);BKS BOSTIK Bielsko-Bia≥a;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
5;4;5;4;;-;17;7;10;13;1;1;0%;0;0;-;-;40;3;3;14;35%;20%;2;2;18 Gabriela Orvosova ;BKS BOSTIK Bielsko-Bia≥a;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
3;2;3;2;;-;22;7;12;21;5;3;-10%;37;2;35%;22%;34;1;2;19;56%;47%;0;0;22 Weronika Szlagowska ;BKS BOSTIK Bielsko-Bia≥a;"
							29.03.2021, 20:30Grot Budowlani £Ûdü-1:3-BKS BOSTIK Bielsko-Bia≥a";"
							29.03.2021, 20:30
					";2021/2022;play-off;J-1
