I;II;III;IV;V;GS;suma;BP;z-s;Liczba;b≥Ídy zagrywka;as;eff%;liczba;b≥Ídy przyjÍcie;poz%;perf%;liczba1;b≥Ídy atak;blok;Pkt;skut%;eff%1;pkt;wyblok;Nazwisko;Klub;Klucz;Data spotkania;Sezon;Faza;Kolejka
4;4;4;4;;-;10;2;7;12;0;1;8%;27;0;41%;4%;20;1;2;9;45%;30%;0;1;11 Aleksandra Gromadowska ;Energa MKS Kalisz;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
3;3;3;3;;-;26;8;15;14;4;0;-14%;0;0;-;-;44;2;5;24;55%;39%;2;2;12 Monika Ga≥kowska ;Energa MKS Kalisz;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
1;1;1;1;;-;13;4;10;11;0;0;0%;33;0;39%;18%;38;1;2;12;32%;24%;1;2;13 Emilia Mucha ;Energa MKS Kalisz;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
;*;;;;-;0;0;0;0;0;0;-;0;0;-;-;0;0;0;0;-;-;0;0;16 Julia Mazur (L);Energa MKS Kalisz;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
*;*;*;*;;-;0;0;-1;0;0;0;-;29;1;48%;28%;0;0;0;0;-;-;0;0;18 Justyna £ysiak (L);Energa MKS Kalisz;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
*;*;*;*;;-;2;1;2;4;0;0;0%;1;0;100%;0%;2;0;0;1;50%;50%;1;0;20 Oliwia Ba≥uk ;Energa MKS Kalisz;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
;*;*;*;;-;0;0;0;3;0;0;0%;0;0;-;-;0;0;0;0;-;-;0;0;22 Sylwia Kucharska ;Energa MKS Kalisz;"
							13.03.2021, 20:30Developres SkyRes RzeszÛw-3:1-Energa MKS Kalisz";"
							13.03.2021, 20:30
					";2021/2022;play-off;A-1
6;1;1;;;-;0;0;0;7;0;0;0%;0;0;-;-;4;0;0;0;0%;0%;0;0;1 Ewelina Polak ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
5;6;6;;;-;4;0;4;5;0;0;0%;0;0;-;-;6;0;0;2;33%;33%;2;4;3 Monika Ptak ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
2;3;3;;;-;6;1;4;11;0;0;0%;0;0;-;-;14;1;1;6;43%;28%;0;1;4 Karolina Bednarek ;Energa MKS Kalisz;"
							19.03.2021, 17:30Energa MKS Kalisz-0:3-Developres SkyRes RzeszÛw";"
							19.03.2021, 17:30
					";2021/2022;play-off;A-2
